model_label,model_code,ref_label,ref_percent,bps_name
10200_13_Water,10200_13,Water,0,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_13_UN,10200_13,UN,0,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_13_UE,10200_13,UE,0,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_6_9_12_17_A,10200_6_9_12_17,A,19,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_6_9_12_17_B,10200_6_9_12_17,B,21,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_6_9_12_17_C,10200_6_9_12_17,C,60,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_6_9_12_17_D,10200_6_9_12_17,D,NA,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_6_9_12_17_E,10200_6_9_12_17,E,NA,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_6_9_12_17_Agriculture,10200_6_9_12_17,Agriculture,0,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_6_9_12_17_Developed,10200_6_9_12_17,Developed,0,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_6_9_12_17_Water,10200_6_9_12_17,Water,0,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_6_9_12_17_UN,10200_6_9_12_17,UN,0,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_6_9_12_17_UE,10200_6_9_12_17,UE,0,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10210_2_3_6_7_A,10210_2_3_6_7,A,19,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland
