BpS_Name,Model_Code
Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,11060_20_21_29
Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,11060_22
Rocky Mountain Gambel Oak-Mixed Montane Shrubland,11070_13
Rocky Mountain Gambel Oak-Mixed Montane Shrubland,11070_15
Rocky Mountain Gambel Oak-Mixed Montane Shrubland,11070_17
Rocky Mountain Gambel Oak-Mixed Montane Shrubland,11070_23_24
Rocky Mountain Gambel Oak-Mixed Montane Shrubland,11070_25_28
Rocky Mountain Gambel Oak-Mixed Montane Shrubland,11070_27_33
Rocky Mountain Gambel Oak-Mixed Montane Shrubland  - Continuous,11071_16
Rocky Mountain Gambel Oak-Mixed Montane Shrubland - Patchy,11072_16
Sonora-Mojave Semi-Desert Chaparral,11080_17
Sonora-Mojave Semi-Desert Chaparral,11080_4_5_13_14_15_24_25
Sonoran Paloverde-Mixed Cacti Desert Scrub,11090_14
Sonoran Paloverde-Mixed Cacti Desert Scrub,11090_15_25
Sonoran Paloverde-Mixed Cacti Desert Scrub,11090_4_13
Southern California Dry-Mesic Chaparral,11100_4
Western Great Plains Mesquite Woodland and Shrubland,11110_26
Western Great Plains Mesquite Woodland and Shrubland,11110_27_33
Western Great Plains Mesquite Woodland and Shrubland,11110_32_35
Western Great Plains Mesquite Woodland and Shrubland,11110_34
California Central Valley Mixed Oak Savanna,11120_4_5
California Coastal Live Oak Woodland and Savanna,11130_3
California Coastal Live Oak Woodland and Savanna,11130_4
California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,11140_3_6_7
California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,11140_4_5
Inter-Mountain Basins Juniper Savanna,11150_10_19
Inter-Mountain Basins Juniper Savanna,11150_13
Inter-Mountain Basins Juniper Savanna,11150_14
Inter-Mountain Basins Juniper Savanna,11150_15_16_23_24
Inter-Mountain Basins Juniper Savanna,11150_17
Inter-Mountain Basins Juniper Savanna,11150_21_22
Inter-Mountain Basins Juniper Savanna,11150_28
Madrean Juniper Savanna,11160_15_25
Madrean Juniper Savanna,11160_24
Madrean Juniper Savanna,11160_26
Southern Rocky Mountain Ponderosa Pine Savanna,11170_13_15_28
Southern Rocky Mountain Ponderosa Pine Savanna,11170_16_23_24
Southern Rocky Mountain Ponderosa Pine Savanna,11170_20
Southern Rocky Mountain Ponderosa Pine Savanna,11170_29
Southern Rocky Mountain Ponderosa Pine Savanna,11170_33
Southern Rocky Mountain Ponderosa Pine Savanna - South,11171_27
Southern Rocky Mountain Ponderosa Pine Savanna - North,11172_27
Southern California Oak Woodland and Savanna,11180_4
Southern Rocky Mountain Juniper Woodland and Savanna,11190_24_25
Southern Rocky Mountain Juniper Woodland and Savanna,11190_26
Southern Rocky Mountain Juniper Woodland and Savanna,11190_27
Southern Rocky Mountain Juniper Woodland and Savanna,11190_28
Southern Rocky Mountain Juniper Woodland and Savanna,11190_34
Willamette Valley Upland Prairie and Savanna,11200_1_2_7
