TransitionGroupID,Model_Code,mean_amount,annual_probability,BpS_Name
All Fire,10940_27_33,44.3664,0.0443664,Western Great Plains Sandhill Steppe
All Fire,10940_31_38,44.0666,0.0440666,Western Great Plains Sandhill Steppe
All Fire,10940_32_35,19.4034,0.0194034,Western Great Plains Sandhill Steppe
All Fire,10940_34,23.8736,0.0238736,Western Great Plains Sandhill Steppe
All Fire,10950_14,127.2314,0.1272314,Apacherian-Chihuahuan Mesquite Upland Scrub
All Fire,10950_15,106.1212,0.1061212,Apacherian-Chihuahuan Mesquite Upland Scrub
All Fire,10950_25,122.0314,0.1220314,Apacherian-Chihuahuan Mesquite Upland Scrub
All Fire,10950_26_35,73.7286,0.0737286,Apacherian-Chihuahuan Mesquite Upland Scrub
All Fire,10950_27,74.7668,0.0747668,Apacherian-Chihuahuan Mesquite Upland Scrub
All Fire,10960_3,9.1754,0.0091754,California Maritime Chaparral
All Fire,10960_4,8.1452,0.0081452,California Maritime Chaparral
All Fire,10970_3_6_7,18.8538,0.0188538,California Mesic Chaparral
All Fire,10970_4_5,12.4776,0.0124776,California Mesic Chaparral
All Fire,10980_3,28.636,0.028636,California Montane Woodland and Chaparral
All Fire,10980_4,25.7362,0.0257362,California Montane Woodland and Chaparral
All Fire,10980_6,29.3202,0.0293202,California Montane Woodland and Chaparral
All Fire,10980_7,29.9158,0.0299158,California Montane Woodland and Chaparral
All Fire,10990_3,12.3568,0.0123568,California Xeric Serpentine Chaparral
All Fire,10990_4,12.566,0.012566,California Xeric Serpentine Chaparral
All Fire,11000_15,3.1294,0.0031294,Chihuahuan Mixed Desert and Thorn Scrub
All Fire,11002_25,1.1862,0.0011862,Chihuahuan Mixed Desert and Thorn Scrub - Shrubland
All Fire,11010_25,60.0128,0.0600128,Madrean Oriental Chaparral
All Fire,11010_26,59.9116,0.0599116,Madrean Oriental Chaparral
All Fire,11020_13_15_16_23_24,15.4808,0.0154808,Colorado Plateau Pinyon-Juniper Shrubland
All Fire,11020_28,8.0698,0.0080698,Colorado Plateau Pinyon-Juniper Shrubland
All Fire,11030_6_7_12_13_16_17_23,19.6952,0.0196952,Great Basin Semi-Desert Chaparral
All Fire,11040_13_14_25,12.9724,0.0129724,Mogollon Chaparral
All Fire,11040_15,13.108,0.013108,Mogollon Chaparral
All Fire,11040_17,20.164,0.020164,Mogollon Chaparral
All Fire,11040_23_24,23.7914,0.0237914,Mogollon Chaparral
All Fire,11050_3_6_7,13.5666,0.0135666,Northern and Central California Dry-Mesic Chaparral
All Fire,11050_4_5,19.6422,0.0196422,Northern and Central California Dry-Mesic Chaparral
All Fire,11060_1_8_9,23.6624,0.0236624,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland
All Fire,11060_10_19,12.2706,0.0122706,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland
All Fire,11060_18,22.7644,0.0227644,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland
All Fire,11060_20_21_29,12.6868,0.0126868,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland
All Fire,11060_22,14.8454,0.0148454,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland
All Fire,11070_13,26.0712,0.0260712,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
All Fire,11070_15,26.0746,0.0260746,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
All Fire,11070_17,25.827,0.025827,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
All Fire,11070_23_24,25.984,0.025984,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
All Fire,11070_25_28,26.041,0.026041,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
All Fire,11070_27_33,20.5498,0.0205498,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
All Fire,11071_16,23.7684,0.0237684,Rocky Mountain Gambel Oak-Mixed Montane Shrubland  - Continuous
All Fire,11072_16,25.6284,0.0256284,Rocky Mountain Gambel Oak-Mixed Montane Shrubland - Patchy
All Fire,11080_17,19.8964,0.0198964,Sonora-Mojave Semi-Desert Chaparral
All Fire,11080_4_5_13_14_15_24_25,12.2214,0.0122214,Sonora-Mojave Semi-Desert Chaparral
All Fire,11090_14,0.937,0.000937,Sonoran Paloverde-Mixed Cacti Desert Scrub
All Fire,11090_15_25,0.95,0.00095,Sonoran Paloverde-Mixed Cacti Desert Scrub
All Fire,11090_4_13,0.758,0.000758,Sonoran Paloverde-Mixed Cacti Desert Scrub
All Fire,11100_4,19.8466,0.0198466,Southern California Dry-Mesic Chaparral
All Fire,11110_26,133.0732,0.1330732,Western Great Plains Mesquite Woodland and Shrubland
All Fire,11110_27_33,94.633,0.094633,Western Great Plains Mesquite Woodland and Shrubland
All Fire,11110_32_35,145.1974,0.1451974,Western Great Plains Mesquite Woodland and Shrubland
